show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s101023,Movie,Title 1024,Unknown,Unknown,Turkey,2014-10-23,2000,TV-14,50 min,"Comedies, International TV Shows",A Netflix title used for portfolio analytics.
s101024,Movie,Title 1025,Director N,"Actor A, Actor B",Thailand,2011-04-28,2010,R,113 min,"Comedies, Horror Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101025,Movie,Title 1026,Unknown,Unknown,"United States, Japan",2017-10-02,2000,PG,56 min,TV Comedies,A Netflix title used for portfolio analytics.
s101026,Movie,Title 1027,Unknown,Unknown,Spain,2011-06-12,2008,PG-13,107 min,Documentaries,A Netflix title used for portfolio analytics.
s101027,Movie,Title 1028,Director H,Unknown,Canada,2017-08-03,1990,TV-MA,76 min,Documentaries,A Netflix title used for portfolio analytics.
s101028,Movie,Title 1029,Unknown,"Actor A, Actor B",Turkey,2010-01-24,1988,TV-MA,113 min,Comedies,A Netflix title used for portfolio analytics.
s101029,TV Show,Title 1030,Unknown,Unknown,Turkey,,2011,TV-14,2 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s101030,Movie,Title 1031,Director J,Unknown,United States,2018-05-13,2003,R,120 min,"Comedies, TV Dramas",A Netflix title used for portfolio analytics.
s101031,Movie,Title 1032,Unknown,Unknown,United States,2011-08-02,1988,TV-14,136 min,"Romantic Movies, TV Comedies",A Netflix title used for portfolio analytics.
s101032,TV Show,Title 1033,Unknown,"Actor A, Actor B","South Korea, Canada",2015-12-16,1997,R,2 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s101033,Movie,Title 1034,Unknown,Unknown,Australia,2013-09-18,2009,TV-14,91 min,Kids' TV,A Netflix title used for portfolio analytics.
s101034,Movie,Title 1035,Director M,Unknown,United States,2020-10-29,2001,TV-PG,93 min,"Documentaries, Thrillers",A Netflix title used for portfolio analytics.
s101035,Movie,Title 1036,Unknown,Unknown,United Kingdom,2017-09-19,2004,PG-13,51 min,Comedies,A Netflix title used for portfolio analytics.
s101036,TV Show,Title 1037,Director F,Unknown,United States,2014-03-02,1989,TV-14,4 Seasons,International Movies,A Netflix title used for portfolio analytics.
s101037,Movie,Title 1038,Director F,"Actor A, Actor B",United States,2011-01-13,2002,TV-MA,75 min,International TV Shows,A Netflix title used for portfolio analytics.
s101038,Movie,Title 1039,Unknown,Unknown,South Korea,2020-02-29,2015,TV-PG,81 min,Documentaries,A Netflix title used for portfolio analytics.
s101039,Movie,Title 1040,Unknown,Unknown,"United States, Turkey",2014-12-15,2016,R,78 min,"Dramas, Romantic Movies",A Netflix title used for portfolio analytics.
s101040,TV Show,Title 1041,Director U,Unknown,Turkey,2013-01-25,2003,TV-14,1 Season,"Documentaries, Dramas",A Netflix title used for portfolio analytics.
s101041,TV Show,Title 1042,Unknown,Unknown,"United States, South Korea",2009-11-13,1980,TV-14,2 Seasons,"Action & Adventure, Horror Movies, International Movies",A Netflix title used for portfolio analytics.
s101042,Movie,Title 1043,Director K,Unknown,India,2013-10-19,2012,TV-MA,108 min,International Movies,A Netflix title used for portfolio analytics.
s101043,TV Show,Title 1044,Unknown,Unknown,France,2020-11-29,1993,TV-MA,3 Seasons,International Movies,A Netflix title used for portfolio analytics.
s101044,Movie,Title 1045,Unknown,Unknown,United States,2015-01-21,2010,PG-13,112 min,"Dramas, Thrillers",A Netflix title used for portfolio analytics.
s101045,Movie,Title 1046,Director T,Unknown,"United States, Brazil",2010-11-13,2010,R,128 min,"Dramas, Kids' TV",A Netflix title used for portfolio analytics.
s101046,Movie,Title 1047,Director W,Unknown,South Korea,2013-01-17,1981,R,111 min,"International Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101047,Movie,Title 1048,Unknown,Unknown,Australia,2009-10-27,2000,TV-14,74 min,"International TV Shows, TV Dramas",A Netflix title used for portfolio analytics.
s101048,Movie,Title 1049,Director R,Unknown,South Korea,2017-02-15,2013,R,154 min,"Action & Adventure, Thrillers",A Netflix title used for portfolio analytics.
s101049,Movie,Title 1050,Director K,Unknown,United Kingdom,2012-09-29,2011,TV-G,120 min,"Kids' TV, TV Dramas",A Netflix title used for portfolio analytics.
s101050,TV Show,Title 1051,Unknown,Unknown,United States,2009-07-11,1984,R,2 Seasons,TV Comedies,A Netflix title used for portfolio analytics.
s101051,Movie,Title 1052,Unknown,Unknown,Brazil,2019-12-02,1974,TV-14,115 min,"Comedies, Dramas, International TV Shows",A Netflix title used for portfolio analytics.
s101052,Movie,Title 1053,Director L,Unknown,United States,2016-02-11,2002,R,81 min,"Dramas, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101053,TV Show,Title 1054,Unknown,"Actor A, Actor B",Australia,2008-11-21,1980,PG-13,4 Seasons,"Action & Adventure, Horror Movies, TV Dramas",A Netflix title used for portfolio analytics.
s101054,Movie,Title 1055,Director X,Unknown,United States,2020-03-17,2016,TV-MA,84 min,"Action & Adventure, Romantic Movies",A Netflix title used for portfolio analytics.
s101055,Movie,Title 1056,Unknown,Unknown,"Japan, Thailand",2010-05-27,1999,TV-MA,71 min,"Horror Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101056,Movie,Title 1057,Unknown,Unknown,United States,2011-08-19,2000,TV-MA,100 min,Comedies,A Netflix title used for portfolio analytics.
s101057,Movie,Title 1058,Unknown,"Actor A, Actor B","United Kingdom, United States",2014-03-11,2003,NR,131 min,Thrillers,A Netflix title used for portfolio analytics.
s101058,Movie,Title 1059,Director D,"Actor A, Actor B",United States,2016-08-06,2014,TV-14,82 min,"International TV Shows, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101059,Movie,Title 1060,Director Q,Unknown,United States,2015-01-27,2011,TV-14,83 min,"Kids' TV, TV Dramas",A Netflix title used for portfolio analytics.
s101060,Movie,Title 1061,Unknown,Unknown,UNITED STATES,2016-04-04,2016,TV-14,79 min,"Comedies, International TV Shows",A Netflix title used for portfolio analytics.
s101061,Movie,Title 1062,Unknown,Unknown,United States,2015-05-15,2007,TV-14,64 min,Documentaries,A Netflix title used for portfolio analytics.
s101062,Movie,Title 1063,Unknown,"Actor A, Actor B",Japan,2009-11-14,1990,TV-MA,68 min,Romantic Movies,A Netflix title used for portfolio analytics.
s101063,TV Show,Title 1064,Director G,Unknown,Germany,2011-10-09,2004,TV-MA,3 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s101064,TV Show,Title 1065,Unknown,Unknown,United Kingdom,2014-11-02,1987,UR,4 Seasons,International TV Shows,A Netflix title used for portfolio analytics.
s101065,Movie,Title 1066,Director E,"Actor A, Actor B",India,2015-02-11,2012,TV-MA,77 min,TV Dramas,A Netflix title used for portfolio analytics.
s101066,Movie,Title 1067,Director J,Unknown,United Kingdom,2008-09-11,2009,TV-PG,90 min,"Dramas, International Movies",A Netflix title used for portfolio analytics.
s101067,TV Show,Title 1068,Unknown,"Actor A, Actor B","France, India",2015-12-02,1997,R,4 Seasons,"Documentaries, Dramas",A Netflix title used for portfolio analytics.
s101068,Movie,Title 1069,Unknown,"Actor A, Actor B",Brazil,2018-03-23,2002,TV-MA,158 min,TV Comedies,A Netflix title used for portfolio analytics.
s101069,TV Show,Title 1070,Director C,Unknown,United States,2009-10-05,2004,TV-MA,3 Seasons,Comedies,A Netflix title used for portfolio analytics.
s101070,Movie,Title 1071,Director L,Unknown,"United States, Australia",2009-09-06,2005,TV-Y7,137 min,Comedies,A Netflix title used for portfolio analytics.
s101071,TV Show,Title 1072,Unknown,"Actor A, Actor B","Australia, Nigeria",2020-11-08,2018,TV-14,3 Seasons,Thrillers,A Netflix title used for portfolio analytics.
s101072,TV Show,Title 1073,Director Z,Unknown,United States,2012-04-26,1992,TV-MA,3 Seasons,"Dramas, Kids' TV",A Netflix title used for portfolio analytics.
s101073,Movie,Title 1074,Unknown,Unknown,United Kingdom,2019-03-30,1990,TV-MA,78 min,"International Movies, Kids' TV, Romantic Movies",A Netflix title used for portfolio analytics.
s101074,Movie,Title 1075,Unknown,Unknown,United States,2013-07-19,2014,TV-MA,84 min,"Comedies, Documentaries",A Netflix title used for portfolio analytics.
s101075,Movie,Title 1076,Unknown,"Actor A, Actor B",United States,2011-06-15,2012,PG-13,113 min,"Comedies, Documentaries",A Netflix title used for portfolio analytics.
s101076,Movie,Title 1077,Director B,"Actor A, Actor B",THAILAND,2019-09-23,2013,TV-MA,64 min,Thrillers,A Netflix title used for portfolio analytics.
s101077,Movie,Title 1078,Director T,Unknown,United States,2019-01-03,2010,PG-13,68 min,Documentaries,A Netflix title used for portfolio analytics.
s101078,TV Show,Title 1079,Director R,Unknown,India,2009-07-30,2011,TV-MA,3 Seasons,"Comedies, Dramas",A Netflix title used for portfolio analytics.
s101079,Movie,Title 1080,Director B,"Actor A, Actor B",Brazil,2013-10-05,2001,TV-MA,40 min,TV Comedies,A Netflix title used for portfolio analytics.
s101080,Movie,Title 1081,Director L,Unknown,Canada,2015-08-07,2004,TV-14,111 min,"Dramas, TV Dramas",A Netflix title used for portfolio analytics.
s101081,TV Show,Title 1082,Director H,Unknown,"Brazil, Thailand",2016-10-14,2007,TV-PG,5 Seasons,International Movies,A Netflix title used for portfolio analytics.
s101082,Movie,Title 1083,Director U,"Actor A, Actor B",France,2008-08-30,1987,PG-13,101 min,International Movies,A Netflix title used for portfolio analytics.
s101083,TV Show,Title 1084,Unknown,Unknown,United States,2017-04-20,2018,TV-MA,4 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s101084,Movie,Title 1085,Unknown,Unknown,United States,2008-01-22,2014,TV-MA,94 min,International TV Shows,A Netflix title used for portfolio analytics.
s101085,Movie,Title 1086,Director H,Unknown,United States,,2013,TV-MA,92 min,International Movies,A Netflix title used for portfolio analytics.
s101086,TV Show,Title 1087,Director K,Unknown,United Kingdom,2010-04-06,1998,TV-MA,4 Seasons,TV Comedies,A Netflix title used for portfolio analytics.
s101087,Movie,Title 1088,Unknown,"Actor A, Actor B",United States,2011-08-23,2009,TV-14,108 min,"Action & Adventure, Dramas, TV Dramas",A Netflix title used for portfolio analytics.
s101088,Movie,Title 1089,Unknown,Unknown,"United States, Australia",2014-05-02,1999,TV-MA,92 min,Comedies,A Netflix title used for portfolio analytics.
s101089,Movie,Title 1090,Director M,Unknown,"India, Turkey",2012-11-27,2014,PG,83 min,"International Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101090,TV Show,Title 1091,Unknown,"Actor A, Actor B",India,2017-09-23,1977,TV-G,6 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s101091,Movie,Title 1092,Unknown,Unknown,India,2012-05-14,2012,TV-14,53 min,Kids' TV,A Netflix title used for portfolio analytics.
s101092,TV Show,Title 1093,Director Q,Unknown,Turkey,,1994,UR,3 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s101093,Movie,Title 1094,Director D,Unknown,Japan,2009-03-11,2018,TV-14,71 min,Documentaries,A Netflix title used for portfolio analytics.
s101094,Movie,Title 1095,Unknown,Unknown,India,2009-01-12,2018,TV-MA,105 min,"Dramas, Thrillers",A Netflix title used for portfolio analytics.
s101095,Movie,Title 1096,Director G,Unknown,,2017-02-06,2006,TV-Y7,82 min,International TV Shows,A Netflix title used for portfolio analytics.
s101096,TV Show,Title 1097,Director O,"Actor A, Actor B","Canada, Australia",2015-07-26,1973,TV-14,5 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s101097,TV Show,Title 1098,Director F,"Actor A, Actor B",United States,2018-07-26,2008,PG-13,4 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s101098,Movie,Title 1099,Director M,Unknown,United States,2017-03-14,2000,PG-13,96 min,Thrillers,A Netflix title used for portfolio analytics.
s101099,Movie,Title 1100,Unknown,Unknown,India,2019-06-28,2017,PG-13,109 min,International Movies,A Netflix title used for portfolio analytics.
s101100,TV Show,Title 1101,Unknown,"Actor A, Actor B",Spain,2008-08-25,2014,TV-PG,2 Seasons,"Comedies, International Movies",A Netflix title used for portfolio analytics.
s101101,Movie,Title 1102,Director K,"Actor A, Actor B",Spain,2010-04-06,2008,TV-14,50 min,Thrillers,A Netflix title used for portfolio analytics.
s101102,Movie,Title 1103,Unknown,Unknown,"United States, Turkey",2009-05-26,2014,R,108 min,Kids' TV,A Netflix title used for portfolio analytics.
s101103,Movie,Title 1104,Director U,Unknown,Spain,2012-05-27,2007,TV-MA,120 min,TV Dramas,A Netflix title used for portfolio analytics.
s101104,Movie,Title 1105,Unknown,Unknown,France,2017-05-22,1997,TV-MA,93 min,Comedies,A Netflix title used for portfolio analytics.
s101105,Movie,Title 1106,Unknown,Unknown,Italy,2018-11-11,2004,TV-14,123 min,Horror Movies,A Netflix title used for portfolio analytics.
s101106,Movie,Title 1107,Director C,"Actor A, Actor B",United States,2018-04-21,1997,TV-G,67 min,"Action & Adventure, Dramas",A Netflix title used for portfolio analytics.
s101107,Movie,Title 1108,Director X,Unknown,United States,2011-01-09,1980,TV-MA,45 min,Thrillers,A Netflix title used for portfolio analytics.
s101108,Movie,Title 1109,Director J,Unknown,India,2016-06-30,1985,TV-MA,102 min,Romantic Movies,A Netflix title used for portfolio analytics.
s101109,Movie,Title 1110,Director P,Unknown,Spain,2009-06-15,2019,TV-Y7,70 min,"Action & Adventure, Romantic Movies",A Netflix title used for portfolio analytics.
s101110,Movie,Title 1111,Unknown,"Actor A, Actor B",United States,2017-01-31,1993,TV-MA,94 min,"Horror Movies, International Movies",A Netflix title used for portfolio analytics.
s101111,Movie,Title 1112,Unknown,Unknown,"Australia, United Kingdom",2017-12-12,2004,R,119 min,Thrillers,A Netflix title used for portfolio analytics.
s101112,Movie,Title 1113,Unknown,Unknown,"United Kingdom, Nigeria",2011-06-01,2001,TV-MA,81 min,International TV Shows,A Netflix title used for portfolio analytics.
s101113,Movie,Title 1114,Unknown,"Actor A, Actor B",United States,2016-11-09,1993,TV-MA,105 min,"Comedies, International Movies",A Netflix title used for portfolio analytics.
s101114,TV Show,Title 1115,Unknown,Unknown,Australia,2009-06-06,1987,PG,6 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s101115,Movie,Title 1116,Director P,Unknown,South Korea,2020-07-01,2016,TV-MA,84 min,Comedies,A Netflix title used for portfolio analytics.
s101116,Movie,Title 1117,Unknown,Unknown,INDIA,,1975,NR,91 min,TV Comedies,A Netflix title used for portfolio analytics.
s101117,Movie,Title 1118,Unknown,Unknown,United States,2011-05-02,2003,PG-13,82 min,Romantic Movies,A Netflix title used for portfolio analytics.
s101118,TV Show,Title 1119,Unknown,Unknown,United States,2019-02-24,2008,TV-14,5 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s101119,Movie,Title 1120,Director Y,Unknown,United States,2014-03-29,2014,TV-MA,121 min,"Kids' TV, TV Dramas",A Netflix title used for portfolio analytics.
s101120,Movie,Title 1121,Director U,Unknown,Germany,2014-03-27,1988,TV-MA,119 min,"Documentaries, International Movies",A Netflix title used for portfolio analytics.
s101121,Movie,Title 1122,Director I,"Actor A, Actor B",India,2017-08-16,2014,TV-14,79 min,"Comedies, TV Dramas, Thrillers",A Netflix title used for portfolio analytics.
s101122,TV Show,Title 1123,Director E,Unknown,"United States, Australia",2016-07-14,2006,TV-14,2 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s101123,TV Show,Title 1124,Unknown,Unknown,United States,2010-12-28,1994,TV-14,3 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s101124,TV Show,Title 1125,Unknown,Unknown,Turkey,2010-09-03,2014,TV-14,5 Seasons,"Action & Adventure, International TV Shows, TV Dramas",A Netflix title used for portfolio analytics.
s101125,Movie,Title 1126,Unknown,Unknown,United States,2016-04-09,1990,TV-MA,75 min,TV Dramas,A Netflix title used for portfolio analytics.
s101126,Movie,Title 1127,Unknown,"Actor A, Actor B","United States, India",2020-03-04,2004,TV-MA,108 min,"Dramas, TV Dramas",A Netflix title used for portfolio analytics.
s101127,Movie,Title 1128,Director V,Unknown,United States,2015-03-19,2011,TV-14,79 min,International Movies,A Netflix title used for portfolio analytics.
s101128,Movie,Title 1129,Unknown,Unknown,"Italy, Japan",2019-08-22,2003,NR,40 min,Horror Movies,A Netflix title used for portfolio analytics.
s101129,TV Show,Title 1130,Unknown,"Actor A, Actor B",India,2019-03-03,2009,TV-MA,5 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
s101130,Movie,Title 1131,Unknown,Unknown,United States,2016-05-02,1992,TV-Y7,78 min,"Comedies, Documentaries",A Netflix title used for portfolio analytics.
s101131,Movie,Title 1132,Unknown,"Actor A, Actor B",India,2010-05-04,1997,NR,105 min,Action & Adventure,A Netflix title used for portfolio analytics.
s101132,Movie,Title 1133,Unknown,Unknown,"Brazil, India",2011-06-20,1998,PG-13,150 min,"Comedies, TV Dramas",A Netflix title used for portfolio analytics.
s101133,Movie,Title 1134,Director W,"Actor A, Actor B",United States,2008-05-06,2005,TV-14,114 min,"Comedies, Documentaries, Romantic Movies, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101134,TV Show,Title 1135,Director Z,Unknown,Nigeria,2014-04-23,2016,R,2 Seasons,"Comedies, International Movies",A Netflix title used for portfolio analytics.
s101135,Movie,Title 1136,Director F,"Actor A, Actor B",Canada,2015-07-15,2011,TV-14,67 min,International Movies,A Netflix title used for portfolio analytics.
s101136,Movie,Title 1137,Unknown,Unknown,South Korea,2010-11-20,2019,TV-MA,99 min,Kids' TV,A Netflix title used for portfolio analytics.
s101137,Movie,Title 1138,Director T,"Actor A, Actor B",United States,2015-05-26,1996,TV-14,162 min,Horror Movies,A Netflix title used for portfolio analytics.
s101138,Movie,Title 1139,Unknown,"Actor A, Actor B",United States,2012-05-12,1990,TV-MA,98 min,"TV Dramas, Thrillers",A Netflix title used for portfolio analytics.
s101139,TV Show,Title 1140,Director U,Unknown,United States,2011-01-18,2016,TV-MA,6 Seasons,Thrillers,A Netflix title used for portfolio analytics.
s101140,Movie,Title 1141,Director B,Unknown,"United States, South Korea",2020-10-21,1992,TV-MA,121 min,Comedies,A Netflix title used for portfolio analytics.
s101141,Movie,Title 1142,Unknown,Unknown,GERMANY,2015-11-21,1984,TV-MA,76 min,International TV Shows,A Netflix title used for portfolio analytics.
s101142,TV Show,Title 1143,Director I,Unknown,United States,2013-01-01,2010,PG,4 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s101143,TV Show,Title 1144,Unknown,Unknown,United States,2009-09-02,2016,PG-13,3 Seasons,"Documentaries, Kids' TV",A Netflix title used for portfolio analytics.
s101144,Movie,Title 1145,Director K,"Actor A, Actor B",United Kingdom,2010-06-08,2012,TV-G,84 min,Dramas,A Netflix title used for portfolio analytics.
s101145,Movie,Title 1146,Unknown,Unknown,Canada,2017-11-25,2013,TV-MA,98 min,Comedies,A Netflix title used for portfolio analytics.
s101146,Movie,Title 1147,Unknown,"Actor A, Actor B",UNITED KINGDOM,2011-11-20,2018,PG-13,87 min,Kids' TV,A Netflix title used for portfolio analytics.
s101147,Movie,Title 1148,Director S,Unknown,India,2013-07-08,2007,TV-14,98 min,Action & Adventure,A Netflix title used for portfolio analytics.
s101148,TV Show,Title 1149,Unknown,Unknown,United States,2016-01-04,2017,TV-14,2 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s101149,TV Show,Title 1150,Director C,Unknown,"Japan, United Kingdom",2011-01-09,1996,UR,6 Seasons,"Action & Adventure, TV Dramas",A Netflix title used for portfolio analytics.
s101150,Movie,Title 1151,Unknown,Unknown,United States,2010-01-09,1998,TV-14,88 min,"Documentaries, TV Dramas",A Netflix title used for portfolio analytics.
s101151,TV Show,Title 1152,Director A,"Actor A, Actor B","France, United Kingdom",2016-04-08,1983,TV-Y7,1 Season,Romantic Movies,A Netflix title used for portfolio analytics.
s101152,Movie,Title 1153,Unknown,"Actor A, Actor B",United States,2019-12-29,1999,TV-MA,112 min,"Dramas, International TV Shows",A Netflix title used for portfolio analytics.
s101153,Movie,Title 1154,Unknown,"Actor A, Actor B",Nigeria,2011-03-21,2009,TV-PG,75 min,Romantic Movies,A Netflix title used for portfolio analytics.
s101154,Movie,Title 1155,Director P,Unknown,"United States, Italy",2018-12-27,2010,TV-14,51 min,International Movies,A Netflix title used for portfolio analytics.
s101155,Movie,Title 1156,Unknown,Unknown,Turkey,2012-06-20,2012,R,83 min,International Movies,A Netflix title used for portfolio analytics.
s101156,TV Show,Title 1157,Director F,Unknown,Mexico,2017-02-10,2001,TV-14,3 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s101157,TV Show,Title 1158,Unknown,Unknown,South Korea,2019-09-04,2001,TV-PG,6 Seasons,"Comedies, Kids' TV",A Netflix title used for portfolio analytics.
s101158,TV Show,Title 1159,Unknown,Unknown,United States,2014-05-20,2011,TV-MA,3 Seasons,Action & Adventure,A Netflix title used for portfolio analytics.
s101159,Movie,Title 1160,Unknown,"Actor A, Actor B",India,2017-07-28,1987,PG,109 min,Comedies,A Netflix title used for portfolio analytics.
s101160,Movie,Title 1161,Director K,Unknown,United States,2018-11-04,2015,R,76 min,"Dramas, Horror Movies",A Netflix title used for portfolio analytics.
s101161,Movie,Title 1162,Unknown,Unknown,United States,2018-10-10,1996,PG-13,80 min,TV Dramas,A Netflix title used for portfolio analytics.
s101162,Movie,Title 1163,Director G,Unknown,"Canada, Thailand",2010-07-08,1991,TV-MA,91 min,"Action & Adventure, Romantic Movies",A Netflix title used for portfolio analytics.
s101163,Movie,Title 1164,Director T,Unknown,Mexico,2014-10-29,2003,PG-13,105 min,TV Dramas,A Netflix title used for portfolio analytics.
s101164,Movie,Title 1165,Unknown,Unknown,United Kingdom,2009-01-14,2015,TV-14,114 min,"Horror Movies, International Movies",A Netflix title used for portfolio analytics.
s101165,TV Show,Title 1166,Unknown,Unknown,"United States, South Korea",2010-01-12,2011,TV-MA,4 Seasons,Comedies,A Netflix title used for portfolio analytics.
s101166,Movie,Title 1167,Unknown,Unknown,United States,2011-09-21,1990,TV-14,91 min,"International Movies, International TV Shows",A Netflix title used for portfolio analytics.
s101167,Movie,Title 1168,Director N,"Actor A, Actor B",Canada,2011-10-01,1989,TV-PG,122 min,Documentaries,A Netflix title used for portfolio analytics.
s101168,Movie,Title 1169,Unknown,Unknown,United States,2011-04-12,2008,R,134 min,Documentaries,A Netflix title used for portfolio analytics.
s101169,Movie,Title 1170,Director U,Unknown,France,2019-02-04,1995,TV-14,125 min,Documentaries,A Netflix title used for portfolio analytics.
s101170,Movie,Title 1171,Director V,"Actor A, Actor B","United States, Canada",2008-05-31,2005,PG,,Thrillers,A Netflix title used for portfolio analytics.
s101171,TV Show,Title 1172,Unknown,"Actor A, Actor B",United States,2009-02-10,2012,TV-MA,4 Seasons,Horror Movies,A Netflix title used for portfolio analytics.
s101172,Movie,Title 1173,Director D,"Actor A, Actor B",Brazil,2020-06-26,1999,TV-MA,98 min,Kids' TV,A Netflix title used for portfolio analytics.
s101173,Movie,Title 1174,Director T,"Actor A, Actor B",India,2010-11-03,1999,TV-MA,92 min,Dramas,A Netflix title used for portfolio analytics.
s101174,Movie,Title 1175,Director J,Unknown,Germany,2015-12-07,1990,NR,99 min,TV Dramas,A Netflix title used for portfolio analytics.
s101175,Movie,Title 1176,Director X,"Actor A, Actor B",Mexico,2020-05-07,2003,TV-MA,76 min,"Kids' TV, Thrillers",A Netflix title used for portfolio analytics.
s101176,TV Show,Title 1177,Unknown,"Actor A, Actor B",Thailand,2009-07-12,1992,TV-14,3 Seasons,International TV Shows,A Netflix title used for portfolio analytics.
s101177,TV Show,Title 1178,Unknown,Unknown,"United States, Germany",2018-11-16,1999,TV-14,5 Seasons,Dramas,A Netflix title used for portfolio analytics.
s101178,TV Show,Title 1179,Unknown,Unknown,France,2013-10-16,2016,TV-14,3 Seasons,International Movies,A Netflix title used for portfolio analytics.
s101179,TV Show,Title 1180,Director E,Unknown,United States,2013-10-30,2014,TV-MA,6 Seasons,Documentaries,A Netflix title used for portfolio analytics.
s101180,Movie,Title 1181,Unknown,"Actor A, Actor B",France,2019-06-11,1989,TV-MA,98 min,TV Dramas,A Netflix title used for portfolio analytics.
s101181,Movie,Title 1182,Unknown,"Actor A, Actor B",Italy,2010-12-05,2005,TV-14,88 min,"Horror Movies, International TV Shows",A Netflix title used for portfolio analytics.
s101182,TV Show,Title 1183,Unknown,Unknown,Spain,2017-02-04,2016,TV-14,3 Seasons,Comedies,A Netflix title used for portfolio analytics.
s101183,TV Show,Title 1184,Director V,Unknown,Japan,2015-08-11,2014,PG,2 Seasons,"Comedies, Dramas, Romantic Movies",A Netflix title used for portfolio analytics.
s101184,Movie,Title 1185,Unknown,Unknown,India,2012-08-13,2011,TV-14,106 min,"Action & Adventure, Documentaries, TV Comedies",A Netflix title used for portfolio analytics.
s101185,Movie,Title 1186,Director E,"Actor A, Actor B","France, Japan",2019-08-05,2008,TV-14,127 min,"Comedies, Horror Movies",A Netflix title used for portfolio analytics.
s101186,Movie,Title 1187,Unknown,Unknown,UNITED STATES,2014-04-23,2000,TV-G,101 min,"Dramas, Stand-Up Comedy",A Netflix title used for portfolio analytics.
s101187,Movie,Title 1188,Director X,"Actor A, Actor B",United Kingdom,2010-01-25,2008,TV-14,127 min,Horror Movies,A Netflix title used for portfolio analytics.
s101188,Movie,Title 1189,Unknown,Unknown,"United States, Canada",2012-03-09,2008,PG-13,90 min,TV Dramas,A Netflix title used for portfolio analytics.
s101189,TV Show,Title 1190,Director S,"Actor A, Actor B",Canada,2014-06-15,2014,PG,7 Seasons,Kids' TV,A Netflix title used for portfolio analytics.
s101190,Movie,Title 1191,Unknown,Unknown,United States,2020-04-16,2013,TV-MA,96 min,Horror Movies,A Netflix title used for portfolio analytics.
s101191,TV Show,Title 1192,Director S,Unknown,United Kingdom,2010-11-06,2014,TV-MA,6 Seasons,"Comedies, Horror Movies, International Movies",A Netflix title used for portfolio analytics.
s101192,Movie,Title 1193,Unknown,Unknown,,2013-10-26,1985,TV-Y,90 min,TV Comedies,A Netflix title used for portfolio analytics.
s101193,TV Show,Title 1194,Director Z,"Actor A, Actor B",United Kingdom,2011-01-13,2018,R,4 Seasons,Thrillers,A Netflix title used for portfolio analytics.
s101194,Movie,Title 1195,Unknown,"Actor A, Actor B",THAILAND,2020-01-12,2011,TV-MA,117 min,TV Dramas,A Netflix title used for portfolio analytics.
s101195,Movie,Title 1196,Unknown,"Actor A, Actor B",France,2016-09-21,2015,TV-MA,110 min,Romantic Movies,A Netflix title used for portfolio analytics.
s101196,Movie,Title 1197,Unknown,Unknown,France,2010-11-06,1999,TV-MA,72 min,Action & Adventure,A Netflix title used for portfolio analytics.
s101197,TV Show,Title 1198,Director U,Unknown,United States,2014-07-12,2018,TV-Y7,5 Seasons,"TV Comedies, Thrillers",A Netflix title used for portfolio analytics.
s101198,TV Show,Title 1199,Unknown,"Actor A, Actor B",Australia,2015-04-19,2013,TV-MA,5 Seasons,"International Movies, International TV Shows",A Netflix title used for portfolio analytics.
s101199,TV Show,Title 1200,Unknown,Unknown,Australia,2016-09-26,1998,PG,6 Seasons,Dramas,A Netflix title used for portfolio analytics.
s101200,Movie,Title 1201,Unknown,Unknown,United States,2013-08-19,1979,R,112 min,"Documentaries, Dramas",A Netflix title used for portfolio analytics.
s101201,TV Show,Title 1202,Unknown,Unknown,Japan,2010-01-23,1999,G,2 Seasons,"Horror Movies, Kids' TV",A Netflix title used for portfolio analytics.
s101202,Movie,Title 1203,Unknown,Unknown,South Korea,2013-11-13,2010,PG-13,63 min,Documentaries,A Netflix title used for portfolio analytics.
s101203,TV Show,Title 1204,Director P,Unknown,United States,2008-08-16,2015,TV-14,2 Seasons,Romantic Movies,A Netflix title used for portfolio analytics.
