show_id,type,title,rating,release_year,date_added,duration,country,listed_in,description,date_added_parsed,duration_value,duration_unit,date_added_year
s01979,TV Show,Title 1979,TV-MA,1995,"June 01, 2020",2 Seasons,Canada,"TV Comedies, Kids' TV, Romantic Movies",A short description.,2020-06-01,2,Seasons,2020.0
s01980,Movie,Title 1980,PG,1965,2015-03-27,141 min,Nigeria,"Horror Movies, Action & Adventure",A short description.,,141,Minutes,
s01981,TV Show,Title 1981,TV-MA,1957,"May 22, 2020",4 Seasons,Japan,"TV Dramas, Action & Adventure",A short description.,2020-05-22,4,Seasons,2020.0
s01982,Movie,Title 1982,TV-MA,2001,"September 17, 2013",171 min,"Brazil, France","Dramas , Independent Movies",A short description.,2013-09-17,171,Minutes,2013.0
s01983,TV Show,Title 1983,PG,1973,"April 10, 2016",1 Season,India,"Horror Movies, Comedies",A short description.,2016-04-10,1,Seasons,2016.0
s01984,Movie,Title 1984,TV-PG,1950,"April 24, 2010",122 min,India,Action & Adventure,A short description.,2010-04-24,122,Minutes,2010.0
s01985,Movie,Title 1985,PG-13,1951,10/28/2011,100 min,"Thailand, Mexico",Action & Adventure,A short description.,,100,Minutes,
s01986,TV Show,Title 1986,G,1989,"August 19, 2010",4 Seasons,,International Movies,A short description.,2010-08-19,4,Seasons,2010.0
s01987,Movie,Title 1987,TV-G,2009,"August 06, 2014",153 min,Japan,"Comedies, Thrillers, Dramas",A short description.,2014-08-06,153,Minutes,2014.0
s01988,TV Show,Title 1988,TV-MA,1975,"April 01, 2020",7 Seasons,Brazil,Sports Movies,A short description.,2020-04-01,7,Seasons,2020.0
s01989,TV Show,Title 1989,PG,2020,"October 14, 2010",1 Season,Nigeria,Horror Movies,A short description.,2010-10-14,1,Seasons,2010.0
s01990,Movie,Title 1990,R,1977,"September 24, 2020",111 min,Nigeria,"Romantic Movies, Independent Movies",A short description.,2020-09-24,111,Minutes,2020.0
s01991,Movie,Title 1991,TV-MA,2002,"July 24, 2019",93 min,"United States, Australia",Horror Movies,A short description.,2019-07-24,93,Minutes,2019.0
s01992,TV Show,Title 1992,TV-Y7,1967,"January 23, 2010",8 Seasons,"Mexico, Nigeria","Romantic Movies , Dramas",A short description.,2010-01-23,8,Seasons,2010.0
s01993,Movie,Title 1993,TV-14,1993,"March 04, 2010",77 min,Australia,"TV Dramas, Thrillers",A short description.,2010-03-04,77,Minutes,2010.0
s01994,Movie,Title 1994,UR,1969,"November 28, 2019",145 min,France,"TV Comedies, Sports Movies, Kids' TV",A short description.,2019-11-28,145,Minutes,2019.0
s01995,Movie,Title 1995,TV-PG,2005,"June 09, 2016",118 min,Nigeria,Comedies,A short description.,2016-06-09,118,Minutes,2016.0
s01996,TV Show,Title 1996,TV-14,1982,"November 30, 2011",1 Season,Nigeria,Romantic Movies,A short description.,2011-11-30,1,Seasons,2011.0
s01997,Movie,Title 1997,TV-MA,1952,"June 29, 2020",155 min,Brazil,"Kids' TV, Comedies, Dramas",A short description.,2020-06-29,155,Minutes,2020.0
s01998,Movie,Title 1998,TV-Y,1967,"March 05, 2016",99 min,"Turkey, South Africa, France","Comedies, Horror Movies, Romantic Movies",A short description.,2016-03-05,99,Minutes,2016.0
s01999,TV Show,Title 1999,TV-PG,1975,"December 27, 2016",3 Seasons,"South Africa, Nigeria",Comedies,A short description.,2016-12-27,3,Seasons,2016.0
s02000,Movie,Title 2000,TV-MA,1983,"June 17, 2017",127 min,Australia,Dramas,A short description.,2017-06-17,127,Minutes,2017.0
s02001,TV Show,Title 2001,TV-MA,1969,"March 21, 2012",5 Seasons,United Kingdom,Documentaries,A short description.,2012-03-21,5,Seasons,2012.0
s02002,Movie,Title 2002,PG-13,1990,"December 13, 2013",131 min,India,"Sports Movies, Independent Movies",A short description.,2013-12-13,131,Minutes,2013.0
s02003,Movie,Title 2003,TV-MA,2018,06/02/2011,94 min,,Dramas,A short description.,,94,Minutes,
s02004,TV Show,Title 2004,TV-PG,2000,"October 27, 2015",1 Season,Brazil,International Movies,A short description.,2015-10-27,1,Seasons,2015.0
s02005,Movie,Title 2005,R,1972,"November 11, 2020",149 min,Turkey,Romantic Movies,A short description.,2020-11-11,149,Minutes,2020.0
s02006,TV Show,Title 2006,TV-MA,1998,"November 26, 2016",6 Seasons,United States,"Kids' TV, Thrillers",A short description.,2016-11-26,6,Seasons,2016.0
s02007,Movie,Title 2007,TV-PG,2018,"August 12, 2017",158 min,Canada,"Romantic Movies, TV Comedies, Comedies",A short description.,2017-08-12,158,Minutes,2017.0
s02008,Movie,Title 2008,TV-MA,1967,"February 19, 2012",110,"South Korea, Nigeria","TV Dramas, Independent Movies",A short description.,2012-02-19,110,Minutes,2012.0
s02009,Movie,Title 2009,TV-G,1966,12/18/2015,102 min,France,"Comedies, TV Comedies",A short description.,,102,Minutes,
s02010,TV Show,Title 2010,NR,1952,"December 08, 2020",4 Seasons,"Canada, Spain","Comedies, Independent Movies",A short description.,2020-12-08,4,Seasons,2020.0
s02011,Movie,Title 2011,TV-MA,2009,"December 21, 2010",68 min,Canada,"Sports Movies, Kids' TV, Horror Movies",A short description.,2010-12-21,68,Minutes,2010.0
s02012,Movie,Title 2012,TV-14,2009,"March 30, 2012",89 min,Thailand,TV Comedies,A short description.,2012-03-30,89,Minutes,2012.0
s02013,Movie,Title 2013,TV-14,1979,"December 02, 2017",140,France,"TV Comedies, Horror Movies",A short description.,2017-12-02,140,Minutes,2017.0
s02014,Movie,Title 2014,TV-G,2011,"February 11, 2010",61 min,Mexico,"Kids' TV, International Movies",A short description.,2010-02-11,61,Minutes,2010.0
s02015,Movie,Title 2015,TV-14,1996,"April 10, 2012",132 min,Nigeria,"Thrillers, Dramas",A short description.,2012-04-10,132,Minutes,2012.0
s02016,Movie,Title 2016,TV-PG,2019,"May 22, 2020",164 min,Thailand,"Horror Movies, Action & Adventure",A short description.,2020-05-22,164,Minutes,2020.0
s02017,Movie,Title 2017,TV-Y7,2015,"March 19, 2010",147,United States,TV Dramas,A short description.,2010-03-19,147,Minutes,2010.0
s02018,Movie,Title 2018,TV-MA,2018,"September 21, 2014",127 min,"South Africa, United States",Dramas,A short description.,2014-09-21,127,Minutes,2014.0
s02019,Movie,Title 2019,TV-PG,1977,"August 18, 2013",127 min,Australia,"Dramas, Comedies",A short description.,2013-08-18,127,Minutes,2013.0
s02020,Movie,Title 2020,TV-MA,1995,"May 21, 2014",113 min,United Kingdom,"TV Comedies, International Movies, Kids' TV",A short description.,2014-05-21,113,Minutes,2014.0
s02021,TV Show,Title 2021,TV-PG,1961,"November 02, 2012",8 Seasons,Australia,Dramas,A short description.,2012-11-02,8,Seasons,2012.0
s02022,Movie,Title 2022,TV-14,2013,"January 12, 2013",90 min,Mexico,"International Movies, Action & Adventure",A short description.,2013-01-12,90,Minutes,2013.0
s02023,Movie,Title 2023,NC-17,1972,"May 15, 2018",131 min,"Canada, Thailand","Documentaries, Kids' TV",A short description.,2018-05-15,131,Minutes,2018.0
s02024,Movie,Title 2024,TV-14,1981,"April 14, 2010",71 min,South Africa,"Dramas, Documentaries",A short description.,2010-04-14,71,Minutes,2010.0
s02025,Movie,Title 2025,TV-MA,1992,"June 05, 2011",122 min,India,"Horror Movies, International Movies",A short description.,2011-06-05,122,Minutes,2011.0
s02026,Movie,Title 2026,G,2005,"November 29, 2012",119 min,United Kingdom,Kids' TV,A short description.,2012-11-29,119,Minutes,2012.0
s02027,TV Show,Title 2027,PG,2001,"February 03, 2019",8 Seasons,South Africa,"Horror Movies, International Movies",A short description.,2019-02-03,8,Seasons,2019.0
s02028,Movie,Title 2028,R,2017,"May 20, 2010",136 min,Spain,"Comedies, International Movies",A short description.,2010-05-20,136,Minutes,2010.0
s02029,Movie,Title 2029,PG-13,2000,"September 22, 2015",175 min,Japan,"Horror Movies, Documentaries",A short description.,2015-09-22,175,Minutes,2015.0
s02030,Movie,Title 2030,TV-MA,2006,"November 25, 2016",155,"United Kingdom, Turkey",Horror Movies,A short description.,2016-11-25,155,Minutes,2016.0
s02031,Movie,Title 2031,TV-PG,1990,"January 13, 2015",96 min,Thailand,"International Movies, Independent Movies, Romantic Movies",A short description.,2015-01-13,96,Minutes,2015.0
s02032,Movie,Title 2032,TV-MA,1979,"December 23, 2010",106 min,Germany,Dramas,A short description.,2010-12-23,106,Minutes,2010.0
s02033,Movie,Title 2033,TV-MA,2014,"September 02, 2019",89 min,South Africa,"Sports Movies, Horror Movies, Documentaries",A short description.,2019-09-02,89,Minutes,2019.0
s02034,Movie,Title 2034,TV-Y7,1976,"June 11, 2019",177 min,South Africa,"Dramas, Action & Adventure",A short description.,2019-06-11,177,Minutes,2019.0
s02035,Movie,Title 2035,PG-13,1994,"January 10, 2020",125 min,Thailand,"International Movies, Horror Movies, Kids' TV",A short description.,2020-01-10,125,Minutes,2020.0
s02036,TV Show,Title 2036,TV-MA,1970,"August 09, 2020",8 Seasons,Nigeria,"Sports Movies , TV Comedies",A short description.,2020-08-09,8,Seasons,2020.0
s02037,TV Show,Title 2037,TV-MA,1984,,8 Seasons,"Mexico, United Kingdom","Comedies, International Movies",A short description.,,8,Seasons,
s02038,Movie,Title 2038,TV-G,1976,"August 22, 2014",166 min,Canada,TV Comedies,A short description.,2014-08-22,166,Minutes,2014.0
s02039,Movie,Title 2039,TV-MA,1968,"July 22, 2020",121 min,"South Africa, South Korea","Kids' TV, Documentaries",A short description.,2020-07-22,121,Minutes,2020.0
s02040,TV Show,Title 2040,TV-MA,2008,12/13/2014,5 Seasons,Turkey,"Horror Movies, Independent Movies",A short description.,,5,Seasons,
s02041,Movie,Title 2041,TV-MA,2004,"July 08, 2019",162 min,"Japan, South Korea","Thrillers, Comedies, Sports Movies",A short description.,2019-07-08,162,Minutes,2019.0
s02042,TV Show,Title 2042,TV-MA,1999,"February 15, 2017",7 Seasons,Spain,"Kids' TV, Horror Movies",A short description.,2017-02-15,7,Seasons,2017.0
s02043,Movie,Title 2043,TV-14,1955,"March 16, 2020",81 min,"Australia, United States","Sports Movies , Romantic Movies",A short description.,2020-03-16,81,Minutes,2020.0
s02044,TV Show,Title 2044,,1967,"February 11, 2010",5 Seasons,Brazil,"Romantic Movies, TV Dramas, Sports Movies",A short description.,2010-02-11,5,Seasons,2010.0
s02045,TV Show,Title 2045,TV-14,1965,"October 09, 2017",3 Seasons,"Japan, Brazil","Action & Adventure, TV Dramas, Romantic Movies",A short description.,2017-10-09,3,Seasons,2017.0
s02046,Movie,Title 2046,TV-14,2000,"October 23, 2018",103 min,"Australia, Mexico",Action & Adventure,A short description.,2018-10-23,103,Minutes,2018.0
s02047,Movie,Title 2047,PG-13,2013,"March 07, 2012",84 min,"Australia, Japan",Dramas,A short description.,2012-03-07,84,Minutes,2012.0
s02048,Movie,Title 2048,TV-PG,1976,"February 02, 2018",150 min,Mexico,"Romantic Movies, Kids' TV",A short description.,2018-02-02,150,Minutes,2018.0
s02049,Movie,Title 2049,PG-13,1973,"February 24, 2012",173 min,"Germany, Spain",Kids' TV,A short description.,2012-02-24,173,Minutes,2012.0
s02050,Movie,Title 2050,R,1989,"December 15, 2019",64 min,Canada,"Romantic Movies, International Movies, Sports Movies",A short description.,2019-12-15,64,Minutes,2019.0
s02051,TV Show,Title 2051,TV-PG,2020,"December 30, 2019",6 Seasons,Canada,Dramas,A short description.,2019-12-30,6,Seasons,2019.0
s02052,Movie,Title 2052,R,1976,"January 15, 2010",95 min,United States,"Kids' TV, Independent Movies",A short description.,2010-01-15,95,Minutes,2010.0
s02053,Movie,Title 2053,PG,1969,"July 31, 2015",126 min,United States,"Action & Adventure, TV Dramas, Documentaries",A short description.,2015-07-31,126,Minutes,2015.0
s02054,TV Show,Title 2054,R,1987,"March 17, 2014",4 Seasons,Thailand,International Movies,A short description.,2014-03-17,4,Seasons,2014.0
s02055,Movie,Title 2055,PG-13,2015,"October 18, 2019",80 min,South Korea,"Thrillers, Horror Movies",A short description.,2019-10-18,80,Minutes,2019.0
s02056,Movie,Title 2056,TV-MA,2001,"July 10, 2013",126 min,Turkey,"Thrillers, TV Comedies",A short description.,2013-07-10,126,Minutes,2013.0
s02057,Movie,Title 2057,R,1986,"December 05, 2017",150 min,Australia,"TV Comedies, Independent Movies",A short description.,2017-12-05,150,Minutes,2017.0
s02058,Movie,Title 2058,PG-13,2001,"April 14, 2011",64 min,Germany,Action & Adventure,A short description.,2011-04-14,64,Minutes,2011.0
s02059,Movie,Title 2059,TV-14,1951,"May 03, 2012",96 min,Mexico,"Dramas, Thrillers",A short description.,2012-05-03,96,Minutes,2012.0
s02060,Movie,Title 2060,NR,2003,"November 02, 2020",100 min,Spain,TV Dramas,A short description.,2020-11-02,100,Minutes,2020.0
s02061,TV Show,Title 2061,TV-14,1956,"March 26, 2014",8 Seasons,"United States, France","Comedies, Romantic Movies",A short description.,2014-03-26,8,Seasons,2014.0
s02062,Movie,Title 2062,TV-MA,1977,"June 05, 2018",66 min,France,"Documentaries, Kids' TV",A short description.,2018-06-05,66,Minutes,2018.0
s02063,Movie,Title 2063,NR,1974,"August 14, 2020",118 min,"Japan, South Africa","Dramas, Comedies, Horror Movies",A short description.,2020-08-14,118,Minutes,2020.0
s02064,Movie,Title 2064,TV-MA,1999,"March 20, 2010",160 min,India,"Comedies, Independent Movies",A short description.,2010-03-20,160,Minutes,2010.0
s02065,Movie,Title 2065,TV-14,1967,"July 23, 2012",71 min,"Spain, United States","Comedies, Kids' TV",A short description.,2012-07-23,71,Minutes,2012.0
s02066,TV Show,Title 2066,TV-14,1966,"November 11, 2017",8 Seasons,Turkey,"Dramas, International Movies",A short description.,2017-11-11,8,Seasons,2017.0
s02067,Movie,Title 2067,TV-Y,2012,"March 12, 2020",167 min,Thailand,"Kids' TV, Action & Adventure, Romantic Movies",A short description.,2020-03-12,167,Minutes,2020.0
s02068,Movie,Title 2068,TV-14,1983,"October 07, 2020",157 min,"United Kingdom, India, Spain","Horror Movies, Thrillers",A short description.,2020-10-07,157,Minutes,2020.0
s02069,Movie,Title 2069,R,2002,"December 04, 2017",66 min,"Germany, Thailand, Turkey",Independent Movies,A short description.,2017-12-04,66,Minutes,2017.0
s02070,Movie,Title 2070,PG,1991,"February 23, 2011",109 min,Japan,Kids' TV,A short description.,2011-02-23,109,Minutes,2011.0
s02071,TV Show,Title 2071,TV-PG,1994,,1 Season,Turkey,Horror Movies,A short description.,,1,Seasons,
s02072,Movie,Title 2072,TV-G,1998,"December 28, 2012",152 min,Brazil,"Kids' TV, Action & Adventure",A short description.,2012-12-28,152,Minutes,2012.0
s02073,Movie,Title 2073,PG,1997,"November 24, 2018",166 min,Canada,Dramas,A short description.,2018-11-24,166,Minutes,2018.0
s02074,TV Show,Title 2074,TV-14,2014,"January 07, 2016",4 Seasons,South Africa,Documentaries,A short description.,2016-01-07,4,Seasons,2016.0
s02075,Movie,Title 2075,TV-G,2005,"January 09, 2012",127 min,South Africa,"Sports Movies, International Movies",A short description.,2012-01-09,127,Minutes,2012.0
s02076,Movie,Title 2076,TV-14,1971,"April 14, 2019",71 min,Nigeria,"Thrillers, Independent Movies",A short description.,2019-04-14,71,Minutes,2019.0
s02077,Movie,Title 2077,TV-MA,1962,"November 17, 2020",117 min,Mexico,"Independent Movies, International Movies, Romantic Movies",A short description.,2020-11-17,117,Minutes,2020.0
s02078,Movie,Title 2078,TV-MA,2010,"July 29, 2015",91 min,Australia,Comedies,A short description.,2015-07-29,91,Minutes,2015.0
s02079,Movie,Title 2079,TV-PG,1976,"December 09, 2018",109 min,United Kingdom,"Romantic Movies, Kids' TV",A short description.,2018-12-09,109,Minutes,2018.0
s02080,Movie,Title 2080,TV-MA,1972,"August 28, 2010",102 min,Germany,TV Comedies,A short description.,2010-08-28,102,Minutes,2010.0
s02081,Movie,Title 2081,TV-PG,1957,"December 25, 2012",147 min,South Africa,"TV Dramas, International Movies",A short description.,2012-12-25,147,Minutes,2012.0
s02082,Movie,Title 2082,TV-14,1989,"May 27, 2011",84 min,United States,"Sports Movies, Independent Movies, Thrillers",A short description.,2011-05-27,84,Minutes,2011.0
s02083,TV Show,Title 2083,TV-14,1986,"February 14, 2013",2 Seasons,Canada,"Comedies, Thrillers",A short description.,2013-02-14,2,Seasons,2013.0
s02084,Movie,Title 2084,TV-MA,2008,"February 19, 2014",165 min,South Korea,TV Comedies,A short description.,2014-02-19,165,Minutes,2014.0
s02085,TV Show,Title 2085,G,2003,"September 30, 2014",7 Seasons,Japan,Horror Movies,A short description.,2014-09-30,7,Seasons,2014.0
s02086,Movie,Title 2086,TV-14,2001,"July 19, 2013",104 min,South Korea,"Romantic Movies, Action & Adventure",A short description.,2013-07-19,104,Minutes,2013.0
s02087,Movie,Title 2087,TV-MA,1988,"December 29, 2015",136 min,Australia,Kids' TV,A short description.,2015-12-29,136,Minutes,2015.0
s02088,Movie,Title 2088,TV-14,2011,"June 01, 2012",72 min,Canada,Dramas,A short description.,2012-06-01,72,Minutes,2012.0
s02089,TV Show,Title 2089,TV-14,2019,"October 29, 2013",3 Seasons,Turkey,"Action & Adventure, Comedies",A short description.,2013-10-29,3,Seasons,2013.0
s02090,Movie,Title 2090,TV-PG,2007,"March 30, 2019",163 min,Germany,"Thrillers, Action & Adventure",A short description.,2019-03-30,163,Minutes,2019.0
s02091,Movie,Title 2091,TV-14,1974,"March 09, 2016",109 min,Spain,Independent Movies,A short description.,2016-03-09,109,Minutes,2016.0
s02092,TV Show,Title 2092,TV-MA,1969,"April 19, 2010",2 Seasons,United Kingdom,"Comedies, Romantic Movies, Horror Movies",A short description.,2010-04-19,2,Seasons,2010.0
s02093,Movie,Title 2093,NR,1950,"August 11, 2013",108,Nigeria,"Independent Movies, International Movies, Action & Adventure",A short description.,2013-08-11,108,Minutes,2013.0
s02094,Movie,Title 2094,TV-14,2020,"February 15, 2019",139 min,Nigeria,"Kids' TV, TV Dramas",A short description.,2019-02-15,139,Minutes,2019.0
s02095,TV Show,Title 2095,TV-MA,2002,"December 25, 2011",6 Seasons,Brazil,Sports Movies,A short description.,2011-12-25,6,Seasons,2011.0
s02096,Movie,Title 2096,PG-13,2016,"April 03, 2013",120 min,South Africa,Comedies,A short description.,2013-04-03,120,Minutes,2013.0
s02097,Movie,Title 2097,R,2005,"December 06, 2016",76 min,United States,"TV Comedies, Romantic Movies",A short description.,2016-12-06,76,Minutes,2016.0
s02098,Movie,Title 2098,R,1980,"March 24, 2015",73 min,Japan,"TV Comedies, Comedies, Horror Movies",A short description.,2015-03-24,73,Minutes,2015.0
s02099,Movie,Title 2099,TV-14,1960,"November 17, 2016",122 min,Canada,TV Comedies,A short description.,2016-11-17,122,Minutes,2016.0
s02100,Movie,Title 2100,TV-14,1953,"October 09, 2018",143,"Brazil, Turkey",Horror Movies,A short description.,2018-10-09,143,Minutes,2018.0
s02101,TV Show,Title 2101,TV-PG,2006,"August 22, 2011",7 Seasons,Brazil,"Documentaries, Sports Movies",A short description.,2011-08-22,7,Seasons,2011.0
s02102,Movie,Title 2102,TV-MA,1971,"November 16, 2013",91 min,"Spain, South Korea","Independent Movies, Romantic Movies",A short description.,2013-11-16,91,Minutes,2013.0
s02103,TV Show,Title 2103,TV-14,1976,"April 02, 2016",5 Seasons,Spain,"Horror Movies, Independent Movies",A short description.,2016-04-02,5,Seasons,2016.0
s02104,TV Show,Title 2104,,2009,"November 13, 2012",3 Seasons,United States,"Kids' TV, Sports Movies",A short description.,2012-11-13,3,Seasons,2012.0
s02105,Movie,Title 2105,R,1984,"February 16, 2014",96 min,South Korea,"Documentaries, Kids' TV, TV Comedies",A short description.,2014-02-16,96,Minutes,2014.0
s02106,TV Show,Title 2106,TV-14,2017,"September 30, 2019",8 Seasons,South Africa,Comedies,A short description.,2019-09-30,8,Seasons,2019.0
s02107,TV Show,Title 2107,TV-MA,1988,"July 09, 2012",7 Seasons,Turkey,"TV Comedies, Documentaries",A short description.,2012-07-09,7,Seasons,2012.0
s02108,,Title 2108,PG-13,2009,"February 02, 2012",167,Germany,Kids' TV,A short description.,2012-02-02,167,Minutes,2012.0
s02109,Movie,Title 2109,TV-MA,1958,"June 01, 2016",82 min,Germany,"Independent Movies, International Movies, Sports Movies",A short description.,2016-06-01,82,Minutes,2016.0
s02110,Movie,Title 2110,TV-MA,1978,"January 05, 2010",63 min,France,"Independent Movies, TV Comedies, International Movies",A short description.,2010-01-05,63,Minutes,2010.0
s02111,Movie,Title 2111,TV-MA,1963,"July 27, 2019",80 min,Brazil,Comedies,A short description.,2019-07-27,80,Minutes,2019.0
s02112,Movie,Title 2112,PG-13,1954,"January 15, 2013",65,"India, Nigeria","Independent Movies, International Movies, Horror Movies",A short description.,2013-01-15,65,Minutes,2013.0
s02113,Movie,Title 2113,TV-PG,2020,"April 30, 2011",109 min,"Australia, Turkey","Sports Movies, Action & Adventure",A short description.,2011-04-30,109,Minutes,2011.0
s02114,Movie,Title 2114,TV-MA,1986,"March 20, 2017",177 min,Turkey,"Dramas, Independent Movies",A short description.,2017-03-20,177,Minutes,2017.0
s02115,Movie,Title 2115,TV-MA,1975,"April 17, 2015",82 min,France,"TV Dramas, Action & Adventure",A short description.,2015-04-17,82,Minutes,2015.0
s02116,TV Show,Title 2116,TV-PG,1976,"January 03, 2015",7 Seasons,Germany,Horror Movies,A short description.,2015-01-03,7,Seasons,2015.0
s02117,Movie,Title 2117,TV-PG,1967,"August 09, 2011",90 min,Brazil,"Sports Movies, Comedies",A short description.,2011-08-09,90,Minutes,2011.0
s02118,Movie,Title 2118,R,1958,06/12/2019,164 min,Germany,"Sports Movies, Romantic Movies",A short description.,,164,Minutes,
s02119,Movie,Title 2119,TV-MA,2014,"January 06, 2010",84 min,"South Africa, Mexico","Thrillers, Independent Movies, Dramas",A short description.,2010-01-06,84,Minutes,2010.0
s02120,Movie,Title 2120,PG-13,1957,"April 26, 2015",116 min,Nigeria,"Action & Adventure, TV Dramas",A short description.,2015-04-26,116,Minutes,2015.0
s02121,Movie,Title 2121,TV-Y7,1977,"December 22, 2012",141 min,"Turkey, Spain, United Kingdom",Dramas,A short description.,2012-12-22,141,Minutes,2012.0
s02122,Movie,Title 2122,TV-PG,1960,"January 22, 2017",132 min,"South Africa, Spain, Nigeria","Romantic Movies, International Movies, Kids' TV",A short description.,2017-01-22,132,Minutes,2017.0
s02123,Movie,Title 2123,TV-MA,2016,"January 16, 2016",170 min,Turkey,"TV Dramas, Romantic Movies, Kids' TV",A short description.,2016-01-16,170,Minutes,2016.0
s02124,Movie,Title 2124,R,1964,"March 27, 2014",93 min,Australia,"Action & Adventure, Romantic Movies",A short description.,2014-03-27,93,Minutes,2014.0
s02125,Movie,Title 2125,TV-14,1977,"November 18, 2015",65 min,"South Korea, Japan, United States",Dramas,A short description.,2015-11-18,65,Minutes,2015.0
s02126,Movie,Title 2126,TV-MA,2003,"July 01, 2012",108 min,Spain,"Kids' TV, Documentaries",A short description.,2012-07-01,108,Minutes,2012.0
s02127,Movie,Title 2127,TV-14,1990,"June 11, 2011",156 min,Nigeria,International Movies,A short description.,2011-06-11,156,Minutes,2011.0
s02128,Movie,Title 2128,TV-Y,1977,"December 17, 2019",107 min,United Kingdom,Dramas,A short description.,2019-12-17,107,Minutes,2019.0
s02129,Movie,Title 2129,TV-14,1990,10/01/2016,93 min,Germany,Action & Adventure,A short description.,,93,Minutes,
s02130,Movie,Title 2130,NR,1981,"March 12, 2017",62 min,Brazil,"Horror Movies, Dramas",A short description.,2017-03-12,62,Minutes,2017.0
s02131,Movie,Title 2131,TV-14,1970,12/27/2020,111 min,South Korea,"Sports Movies, Independent Movies, International Movies",A short description.,,111,Minutes,
s02132,TV Show,Title 2132,TV-14,1992,"December 12, 2019",8 Seasons,Japan,Sports Movies,A short description.,2019-12-12,8,Seasons,2019.0
s02133,,Title 2133,TV-MA,1975,"June 07, 2016",141 min,Australia,TV Dramas,A short description.,2016-06-07,141,Minutes,2016.0
s02134,TV Show,Title 2134,TV-PG,2018,"September 19, 2018",4 Seasons,India,"Action & Adventure, Comedies",A short description.,2018-09-19,4,Seasons,2018.0
s02135,Movie,Title 2135,TV-MA,1982,10/22/2015,60 min,"Thailand, Turkey","Dramas, Independent Movies",A short description.,,60,Minutes,
s02136,Movie,Title 2136,TV-14,2003,"August 13, 2012",140 min,"Brazil, South Korea","Independent Movies, Comedies, Romantic Movies",A short description.,2012-08-13,140,Minutes,2012.0
s02137,Movie,Title 2137,TV-MA,1966,"November 06, 2016",61 min,Brazil,"International Movies, Documentaries",A short description.,2016-11-06,61,Minutes,2016.0
s02138,TV Show,Title 2138,TV-14,1995,"January 17, 2020",3 Seasons,South Korea,"Romantic Movies, TV Comedies",A short description.,2020-01-17,3,Seasons,2020.0
s02139,TV Show,Title 2139,TV-PG,1989,"September 05, 2019",8 Seasons,Mexico,"Documentaries, TV Dramas, TV Comedies",A short description.,2019-09-05,8,Seasons,2019.0
s02140,TV Show,Title 2140,TV-MA,2002,"July 23, 2015",5 Seasons,Japan,"TV Dramas, Comedies",A short description.,2015-07-23,5,Seasons,2015.0
s02141,TV Show,Title 2141,TV-MA,1982,"May 29, 2020",7 Seasons,United Kingdom,"TV Comedies, Independent Movies, Documentaries",A short description.,2020-05-29,7,Seasons,2020.0
s02142,Movie,Title 2142,,2001,"March 04, 2012",122 min,Spain,"Independent Movies, Horror Movies",A short description.,2012-03-04,122,Minutes,2012.0
s02143,TV Show,Title 2143,TV-MA,1954,"June 14, 2010",8 Seasons,South Korea,"Dramas, Romantic Movies",A short description.,2010-06-14,8,Seasons,2010.0
s02144,TV Show,Title 2144,TV-14,1999,"June 09, 2014",4 Seasons,"Japan, United States","Documentaries, International Movies",A short description.,2014-06-09,4,Seasons,2014.0
s02145,Movie,Title 2145,TV-14,2003,"April 03, 2012",129 min,France,"Comedies, TV Comedies",A short description.,2012-04-03,129,Minutes,2012.0
s02146,TV Show,Title 2146,TV-14,1985,07/14/2020,7 Seasons,South Africa,"Comedies, TV Comedies, Romantic Movies",A short description.,,7,Seasons,
s02147,Movie,Title 2147,R,1952,"April 11, 2011",147 min,United States,"Comedies, TV Dramas",A short description.,2011-04-11,147,Minutes,2011.0
s02148,,Title 2148,TV-MA,1990,"November 19, 2015",139 min,South Africa,"Kids' TV, Dramas, TV Dramas",A short description.,2015-11-19,139,Minutes,2015.0
s02149,TV Show,Title 2149,TV-14,2005,"July 01, 2018",4 Seasons,Brazil,"Independent Movies, TV Comedies, Horror Movies",A short description.,2018-07-01,4,Seasons,2018.0
s02150,Movie,Title 2150,R,1982,"March 22, 2011",153 min,"South Korea, Thailand",TV Comedies,A short description.,2011-03-22,153,Minutes,2011.0
s02151,TV Show,Title 2151,TV-14,1956,"July 03, 2010",2 Seasons,"South Korea, Turkey","Sports Movies, International Movies, Dramas",A short description.,2010-07-03,2,Seasons,2010.0
s02152,Movie,Title 2152,TV-G,1978,"February 03, 2016",158 min,"Japan, South Africa","Horror Movies, TV Comedies",A short description.,2016-02-03,158,Minutes,2016.0
s02153,TV Show,Title 2153,,2020,"December 06, 2019",1 Season,United Kingdom,TV Dramas,A short description.,2019-12-06,1,Seasons,2019.0
s02154,TV Show,Title 2154,TV-MA,1969,"March 07, 2010",2 Seasons,Canada,"Action & Adventure, TV Dramas",A short description.,2010-03-07,2,Seasons,2010.0
s02155,Movie,Title 2155,TV-14,1987,"March 24, 2010",116 min,Brazil,Independent Movies,A short description.,2010-03-24,116,Minutes,2010.0
s02156,TV Show,Title 2156,TV-MA,1975,2020-03-07,5 Seasons,Japan,Action & Adventure,A short description.,,5,Seasons,
s02157,Movie,Title 2157,TV-MA,2000,"August 18, 2016",123 min,Japan,Romantic Movies,A short description.,2016-08-18,123,Minutes,2016.0
